,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
56,57,30079,30079,2960.0,2861.0,,,,,934.0,981.0,48.0,5.1,-17.0,165.0,38.0,-14.2,160.2,36.9,-11.24228391,124.0,30.2,-9.9,86.0,20.9,{8AB6479E-878E-4769-8344-F649C10803A2},
57,58,30322,30322,2023.0,2854.0,,,,,,,,,,,,,,,,,,,,,{8D4273EC-C22D-419A-8E89-4799362CF8A3},
58,59,30307,30307,18004.0,18574.0,302373.0,365106.0,62733.0,0.207,1734.0,2354.0,619.0,35.7,-58.4,426.4,10.1,-58.1,387.5,9.2,-50.1774994,294.0,8.0,-47.2,248.0,6.7,{F841B401-FA0C-4E8B-90DA-E5051BF1099C},
59,60,30030,30030,26473.0,27322.0,243171.0,334654.0,91483.0,0.376,1490.0,2115.0,624.0,41.9,-75.5,660.2,11.2,-63.5,546.1,9.2,-53.99954754,403.0,7.6,-50.9,354.0,6.7,{2AABBFFB-0AE9-47EB-A26D-3C6A013E1F20},
60,61,30088,30088,25257.0,27167.0,128579.0,85840.0,-42739.0,-0.332,960.0,986.0,26.0,2.7,-118.4,2629.1,47.6,-104.6,2390.3,43.2,-84.04001769,1880.0,38.4,-63.9,1365.0,27.9,{A29C1412-DCD1-4504-8CB2-AF0A11265EF4},
61,62,30336,30336,971.0,522.0,,,,,,,,,,,,-0.6,5.5,42.0,0.0,0.0,0.0,,,,{AA717416-3592-4456-B929-5A69CAB0B316},
62,63,30002,30002,5861.0,5835.0,,,,,1340.0,1682.0,342.0,25.5,-23.4,247.9,19.4,-21.2,198.7,15.6,-15.54984828,124.0,12.6,-15.8,113.0,11.4,{ECA10742-DDE6-419E-90F9-1689D5DC9DFA},
63,64,30032,30032,47222.0,48787.0,144348.0,104741.0,-39607.0,-0.274,871.0,926.0,55.0,6.3,-165.2,2993.1,45.3,-155.5,2781.0,42.1,-128.0946924,2176.0,35.3,-106.3,1712.0,27.8,{8EF3FB61-0D82-45AA-B945-F7BF3E0CB882},
64,65,30308,30308,15413.0,17097.0,205188.0,208025.0,2837.0,0.014,1297.0,1652.0,354.0,27.3,-100.6,650.5,24.4,-98.9,620.4,23.3,-70.46763071,380.0,17.7,-65.8,351.0,16.4,{5CF57F96-0051-4DB5-8478-CAA7563238C5},
65,66,30313,30313,9495.0,10893.0,,,,,1215.0,1453.0,238.0,19.6,-41.8,245.3,39.3,-38.2,227.7,36.5,-31.00391583,175.0,30.5,-26.6,141.0,24.6,{FB82E2C0-E794-4752-AF7E-9486C1564565},
